Annexure II-  Nifty Next 50 Index : October 2024,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
44,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,39196.87,1.59,0.35,0.04,2.09,-5.71,0.03
45,UNIONBANK,Union Bank of India,PUBLIC SECTOR BANK,76336056070,7010.76,0.28,1.63,0.32,1.65,-4.56,0.03
46,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,56657.68,2.29,0.54,0.09,1.18,-8.86,0.03
47,VBL,Varun Beverages Ltd.,BEVERAGES,6497242062,22363.09,0.91,0.73,0.0846,3.15,-1.41,0.04
48,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,104277.09,4.22,1.27,0.23,1.51,-9.48,0.02
49,ZOMATO,Zomato Ltd.,E-RETAIL/ E-COMMERCE,8834375172,46693.79,1.89,0.81,0.08,2.38,-11.54,0.03
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,33175.06,1.34,0.63,0.09,1.27,-6.3,0.03
,,,,,2469285.13,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2023 to 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2024 to 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Oct-2024,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
